name,name2,gender,nation,birth,height,weight,event,nationplace,身高
安-弗雷泽 ,Shelly-Ann Fraser-Pryce,女,牙买加,1986年11月27日,160厘米,52kg,田径,,160
安吉尔·麦克康特利 ,Angel McCoughtry,女,美国,1986年9月10日,185cm,73kg,篮球,,185
毕晓琳 ,Bi Xiaolin,女,中国,1989年9月18日,,,足球,辽宁,
阿莱克斯•加西亚 ,Alex Garcia,男,巴西,1980年3月4日,191厘米,89kg,篮球,,191
保罗·乔治 ,Paul George,男,美国,1990年5月2日,203厘米,95kg,篮球,,203
阿尔法拉克·阿米奴 ,Al-Farouq Aminu,男,尼日利亚,1990年9月21日,206厘米,98kg,篮球,,206
安德森•瓦莱乔 ,Anderson Varejao,男,巴西,1982年9月28日,211厘米,118kg,篮球,,211
博涅娃 ,BONEVA Antoaneta,女,保加利亚,1986年1月17日,,,射击,,
阿隆·贝内斯 ,Aron Baynes,男,澳大利亚,1986年12月9日,208厘米,118kg,篮球,,208
埃米莉·西博姆 ,Emily Jane Seebohm,女,澳大利亚,1992年6月5日,1.80米,64kg,游泳,,1.8
巴哈尔·卡格拉尔 ,Bahar Caglar,女,土耳其,1988年9月28日,191厘米,76kg,篮球,,191
安德烈斯·诺西奥尼 ,Andres Nocioni,男,阿根廷,1979年11月30日,201厘米,102kg,篮球,,201
安迪·穆雷 ,Andy Murray,男,英国,1987年5月15日,191厘米,81kg,网球,,191
波尔 ,Timo Boll,男,德国,1981年3月8日,178cm,65kg,乒乓球,,178
艾克内·伊贝克维 ,Ekene Ibekwe,男,尼日利亚,1985年7月19日,206厘米,100kg,篮球,,206
阿列克谢·克里莫夫 ,Alexey Klimov ,男,俄罗斯,1975年8月27日,182cm,81kg,射击,,182
鲍语晴 ,Bao Yuqing,女,中国,,,,艺术体操,浙江,
奥古斯托 ,Augusto,男,巴西,1988年2月8日,186cm,86kg,男子足球,,186
艾衍含 ,Ai Yanhan,女,中国,2002年2月7日,,,游泳,湖北,
毕胜峰 ,Bi Shengfeng,男,中国,,,,摔跤,,
鲍里斯·迪奥 ,Boris Diaw,男,法国,1982年4月16日,203厘米,107kg,篮球,,203
阿索维奇 ,ARSOVIC Andrea,,,,,,,,
贝莎妮·马泰克-桑兹 ,Bethanie Mattek-Sands,女,美国,1985年3月23日,168cm,66.4kg,网球,,168
卞卡 ,BIAN Ka,女,中国,1993年1月5日,182厘米,113kg,女子铅球,江苏,182
安赫尔-科雷亚 ,Angel Correa,男,阿根廷,1995年3月9日,173cm,71kg,男子足球,,173
查德·勒克洛斯 ,Chad le Clos,男,南非,1992年4月12日,1.83米,77.8kg,游泳,,1.8
保罗·加索尔 ,Pau Gasol,男,西班牙,1980年7月6日,213cm,118kg,篮球,,213
埃德加-耶 ,Edgar Ie,男,葡萄牙,1994年5月1日,176cm,72kg,男子足球,,176
陈楠 ,Chen Nan,女,中国,1983年12月8日,197厘米,90kg,篮球,青岛胶南,197
白发全 ,Bai Faquan ,男,中国,1986年3月18日,175cm,64kg,铁人三项,云南,175
查尔斯·卡胡迪 ,Charles Kahudi,男,法国,1983年5月25日,190厘米,94kg,篮球,,190
成池铉 ,Sung Ji Hyun,女,韩国,1991年7月29日,169厘米,59kg,羽毛球,,169
陈晓佳 ,Chen Xiao Jia,女,中国,1988年4月2日,180厘米,70kg,篮球,江苏无锡,180
程训钊 ,Cheng Xunzhao,男,中国,1991年,,,柔道,江苏,
陈扬 ,CHEN Yang,女,中国,1991年7月10日,180厘米,100kg,女子铁饼,河北,180
谌利军 ,Chen Li Jun,男,中国:,,,,举重,湖南,
陈洁 ,Chen Jie,女,中国,1995年,176厘米,,游泳,湖北,176
陈倩 ,Chen Qian,女,中国,1987年1月14日,163厘米,54kg,女子现代五项,江苏,163
陈欣怡 ,Chen Xinyi,女,中国,1998年,,,游泳,上海,
陈海威 ,Chen Haiwei,男,中国,1994年12月30日,188cm,,击剑,福建,188
崔米尚 ,CHOI Misun,女,韩国,1996年7月1日,,,射箭,,
曹忠荣 ,Cao Zhongrong,男,中国,1981年11月3日,180厘米,73kg,男子现代五项,上海,180
曹玥 ,Cao Yue,女,中国,1995年,,,游泳,山西,
崔秋霞 ,Cui Qiuxia,女,中国,1990年9月11日,166cm,63kg,曲棍球,,166
曹缘 ,Cao Yuan,男,中国,1995年2月7日,160厘米,42kg,跳水,北京市,160
曹硕 ,Cao Shuo,男,中国,1991年10月8日,180厘米,76kg,男子三级跳远,河北,180
曾珍 ,Zeng Zhen,女,中国,1993年11月28日,170cm,61kg,花样游泳,四川,170
陈定 ,Chen Ding,男,中国,1992年8月5日,177厘米,61kg,男子20公里竞走,云南,177
陈颖 ,Chen Ying,女,中国,1977年11月4日,164厘米,75kg,射击,北京,164
陈若琳 ,Chen Ruolin,女,中国,1992年12月12日,158厘米,47kg,跳水,江苏省,158
曾涛 ,Zeng Tao,男,中国,,,,赛艇,湖南,
德玛尔·德罗赞 ,DeMar DeRozan,男,美国,1989年8月7日,201厘米,100kg,篮球,,201
德娇娇 ,De Jiaojiao,女,中国,1990年1月5日,168厘米,56kg,女子曲棍球,天津,168
谌龙 ,Chen Long,男,中国,1989年1月18日,188厘米,78kg,羽毛球,福建,188
杜丽 ,Du Li,女,中国,1982年3月5日,170厘米,55kg,射击,山东,170
达米里斯·丹特斯 ,Damiris Dantas,女,巴西,1992年11月17日,192厘米,88kg,篮球,,192
曹慧 ,Cao Hui,女,中国,,,,射箭,辽宁,
德马库斯·考辛斯 ,DeMarcus Cousins,男,美国,1990年8月13日,211厘米,123kg,篮球,,211
多布杰 ,Duo Bujie,男,中国,1994年,170cm,55kg,田径,西藏,170
柴飚 ,Chai Biao,男,中国,1990年10月10日,183厘米,70kg,羽毛球,湖南,183
